id,question,query,language
cash_position_total__0_en_0,What is my total cash in hand right now?,"SELECT SUM(ml.closing_balance) AS total_cash
FROM mst_ledger ml
JOIN mst_group mg ON ml._parent = mg.guid
WHERE mg.name = 'Cash-in-Hand';",en
cash_position_total__0_en_1,How much cash do I currently have in hand?,"SELECT SUM(ml.closing_balance) AS total_cash
FROM mst_ledger ml
JOIN mst_group mg ON ml._parent = mg.guid
WHERE mg.name = 'Cash-in-Hand';",en
cash_position_total__0_en_2,Tell me the total cash on hand at this moment.,"SELECT SUM(ml.closing_balance) AS total_cash
FROM mst_ledger ml
JOIN mst_group mg ON ml._parent = mg.guid
WHERE mg.name = 'Cash-in-Hand';",en
cash_position_total__0_en_3,What's the current total of cash-in-hand balance?,"SELECT SUM(ml.closing_balance) AS total_cash
FROM mst_ledger ml
JOIN mst_group mg ON ml._parent = mg.guid
WHERE mg.name = 'Cash-in-Hand';",en
cash_position_total__0_en_4,Show me the overall cash balance I have right now.,"SELECT SUM(ml.closing_balance) AS total_cash
FROM mst_ledger ml
JOIN mst_group mg ON ml._parent = mg.guid
WHERE mg.name = 'Cash-in-Hand';",en
cash_position_total__0_en_5,Give me the sum of all cash-in-hand ledgers.,"SELECT SUM(ml.closing_balance) AS total_cash
FROM mst_ledger ml
JOIN mst_group mg ON ml._parent = mg.guid
WHERE mg.name = 'Cash-in-Hand';",en
cash_position_total__0_en_6,What is the combined cash in hand across all cash ledgers?,"SELECT SUM(ml.closing_balance) AS total_cash
FROM mst_ledger ml
JOIN mst_group mg ON ml._parent = mg.guid
WHERE mg.name = 'Cash-in-Hand';",en
cash_position_total__0_en_7,Total cash in hand — what's the figure?,"SELECT SUM(ml.closing_balance) AS total_cash
FROM mst_ledger ml
JOIN mst_group mg ON ml._parent = mg.guid
WHERE mg.name = 'Cash-in-Hand';",en
cash_position_total__0_en_8,How much cash is sitting in hand as of today?,"SELECT SUM(ml.closing_balance) AS total_cash
FROM mst_ledger ml
JOIN mst_group mg ON ml._parent = mg.guid
WHERE mg.name = 'Cash-in-Hand';",en
cash_position_total__0_en_9,What does my cash-in-hand balance total up to?,"SELECT SUM(ml.closing_balance) AS total_cash
FROM mst_ledger ml
JOIN mst_group mg ON ml._parent = mg.guid
WHERE mg.name = 'Cash-in-Hand';",en
