id,question,query
G001,Show me total income for this year.,"SELECT ml.parent as group_name,COUNT(*) as direct_ledgers,STRING_AGG(ml.name, ', ') as ledger_names,SUM(closing_balance) as total_closing_balance FROM mst_ledger ml LEFT JOIN (SELECT ta.ledger,SUM(ta.amount) as net_amount FROM trn_accounting ta JOIN trn_voucher tv ON ta.guid = tv.guid WHERE (tv.is_order_voucher = 0) AND (tv.is_inventory_voucher = 0) AND EXTRACT(YEAR FROM tv.date) = 2020 GROUP BY ta.ledger) trans ON ml.name = trans.ledger WHERE ml.parent IN ('Sales Accounts', 'Direct Incomes', 'Indirect Incomes') GROUP BY ml.parent ORDER BY total_closing_balance DESC;"
G002,Which single customer invoice was the highest in value this year?,"SELECT tv.voucher_number, tv.date, tv.party_name, ABS(ta.amount) AS invoice_value FROM trn_voucher AS tv JOIN trn_accounting AS ta ON tv.guid = ta.guid WHERE tv.date BETWEEN ( SELECT value :: DATE FROM config WHERE name = 'Period From' ) AND ( SELECT value :: DATE FROM config WHERE name = 'Period To' ) AND tv.is_invoice = 1 AND ta.ledger = tv.party_name AND ta.amount < 0 ORDER BY ABS(ta.amount) DESC LIMIT 1;"
G003,What's the total stock value we're holding across all items right now?,SELECT -SUM(closing_value) FROM mst_stock_item;
G004,"Which five items are our fastest-selling, and how much stock do we have of each?","SELECT msi.name AS item_name, SUM(ABS(ti.quantity)) AS total_quantity_sold, msi.closing_balance AS current_stock FROM trn_inventory AS ti JOIN mst_stock_item AS msi ON ti._item = msi.guid WHERE ti.quantity < 0 GROUP BY msi.guid, msi.name, msi.closing_balance ORDER BY total_quantity_sold DESC LIMIT 5;"
G005,List of negative closing balance of Purchase Party,"SELECT name, closing_balance FROM mst_ledger WHERE parent = 'Sundry Creditors' AND closing_balance < 0;"
G006,Show me products with zero movement in last 2 years,"WITH ItemMovement AS (
 SELECT
 ti._item,
 SUM(ABS(ti.quantity)) AS qty_movement
 FROM
 trn_inventory ti
 JOIN
 trn_voucher tv ON ti.guid = tv.guid
 WHERE
 tv.date BETWEEN '2020-04-01' AND '2021-03-31'
 GROUP BY
 ti._item
)
SELECT
 msi.name AS item_name,
 COALESCE(msi.closing_balance,0) AS closing_quantity,
 COALESCE(msi.closing_value,0) AS closing_value
FROM
 mst_stock_item msi
LEFT JOIN
 ItemMovement im ON msi.guid = im._item
WHERE
 COALESCE(im.qty_movement,0) = 0
ORDER BY
 msi.name;"
G007,Recent transaction history of <ITEM_NAME>,"SELECT tv.date, tv.voucher_type, tv.voucher_number, tv.party_name, ti.quantity, ti.rate, ti.amount, ti.godown FROM trn_inventory AS ti JOIN trn_voucher AS tv ON ti.guid = tv.guid WHERE ti.item = 'INSTANT WHEAT DALIA 250GM-T' ORDER BY tv.date DESC;"
G008,Show me latest 5 sales of <ITEM_NAME>,"SELECT T2.date, T2.voucher_number, T1.name AS item_name, T3.quantity, T3.rate, T3.amount, T2.party_name FROM mst_stock_item AS T1 INNER JOIN trn_inventory AS T3 ON T1.guid = T3._item INNER JOIN trn_voucher AS T2 ON T3.guid = T2.guid WHERE T1.name = 'AASTHA AGARBATTI PATCHOULI - 75 GM' AND T3.quantity < 0 ORDER BY T2.date DESC LIMIT 5;"
G009,Display recent purchase entries for <ITEM_NAME>,"SELECT T1.date AS voucher_date, T1.voucher_type, T1.voucher_number, T1.party_name, T3.name AS item_name, T2.quantity, T2.rate, T2.amount, T2.godown FROM trn_voucher AS T1 JOIN trn_inventory AS T2 ON T1.guid = T2.guid JOIN mst_stock_item AS T3 ON T2._item = T3.guid WHERE T3.name = 'Kesh Kanti Hair Oil 120ml' AND T2.quantity > 0 ORDER BY T1.date DESC;"
G010,Stock position of <ITEM_NAME>,SELECT closing_balance FROM mst_stock_item WHERE name = 'Mustard Oil 5 L (J)';
G011,Daily cash collection from customers,"SELECT tv.date AS collection_date, SUM(ABS(ta.amount)) AS total_cash_collection FROM trn_voucher AS tv JOIN trn_accounting AS ta ON tv.guid = ta.guid JOIN mst_ledger AS ml ON ta._ledger = ml.guid JOIN mst_group AS mg ON ml._parent = mg.guid WHERE tv.voucher_type = 'Receipt' AND mg.name = 'Cash-in-hand' AND ta.amount < 0 GROUP BY tv.date ORDER BY tv.date;"
G012,List all suppliers with negative balance,"SELECT name, closing_balance FROM mst_ledger WHERE parent = 'Sundry Creditors' AND closing_balance < 0;"
G013,Show me customers with outstanding credit balance,"SELECT
 ml.name AS ledger_name,
 ABS(ml.closing_balance) AS credit_balance
FROM mst_ledger AS ml
JOIN mst_group AS mg
 ON ml._parent = mg.guid
WHERE
 mg.primary_group = 'Sundry Debtors'
 AND ml.closing_balance > 0
ORDER BY ml.name;"
G014,Display party wise closing balance summary,"SELECT ml.name AS vendor_name, CASE WHEN ml.closing_balance > 0 THEN ABS(ml.closing_balance) ELSE 0 END AS credit_balance, CASE WHEN ml.closing_balance < 0 THEN ABS(ml.closing_balance) ELSE 0 END AS debit_balance FROM mst_ledger AS ml JOIN mst_group AS mg ON ml._parent = mg.guid WHERE mg.primary_group = 'Sundry Debtors' ORDER BY ml.name;"
G015,Show me vendor wise credit balance report,"SELECT ml.name AS vendor_name, CASE WHEN ml.closing_balance > 0 THEN ABS(ml.closing_balance) ELSE 0 END AS credit_balance, CASE WHEN ml.closing_balance < 0 THEN ABS(ml.closing_balance) ELSE 0 END AS debit_balance FROM mst_ledger AS ml JOIN mst_group AS mg ON ml._parent = mg.guid WHERE mg.primary_group = 'Sundry Creditors' ORDER BY ml.name;"
G016,Party wise Payment Performance Reports,"SELECT ml.name AS party_name,SUM(CASE WHEN mvt.name = 'Receipt' THEN -ta.amount ELSE 0 END) AS total_received,SUM(CASE WHEN mvt.name = 'Payment' THEN ta.amount ELSE 0 END) AS total_paid FROM trn_voucher AS tv JOIN trn_accounting AS ta ON tv.guid = ta.guid JOIN mst_ledger AS ml ON ta._ledger = ml.guid JOIN mst_vouchertype AS mvt ON tv._voucher_type = mvt.guid WHERE tv.date >= '2020-04-01' AND tv.date <= '2021-03-31' AND mvt.name IN ('Receipt', 'Payment') AND ta._ledger = tv._party_name GROUP BY ml.name ORDER BY ml.name;"
G017,Last Top 5 sales transaction of <ITEM_NAME>,"WITH raw_inv AS ( SELECT v.date, v.voucher_number, v.voucher_type, v.party_name, si.name AS item_name, ti.tracking_number, ti.quantity, ti.rate FROM trn_inventory ti JOIN trn_voucher v ON ti.guid = v.guid JOIN mst_stock_item si ON ti._item = si.guid WHERE LOWER(v.voucher_type) LIKE '%sales%' AND v.is_order_voucher = 0 AND ti.quantity < 0 AND si.name = 'AAMVATARI RAS-40 TAB' ) SELECT date, voucher_type, voucher_number, party_name, item_name, SUM(quantity) AS total_quantity, ROUND(SUM(quantity * rate), 2) AS total_amount FROM ( SELECT DISTINCT voucher_number, tracking_number, date, voucher_type, party_name, item_name, quantity, rate FROM raw_inv ) deduped GROUP BY date, voucher_type, voucher_number, party_name, item_name ORDER BY date DESC LIMIT 5;"
G018,ALOEVERA KANTI BODY CLEANSER 150 G.STOCK wise Sale,"SELECT tv.date,
 ti.godown,
 SUM(ti.quantity)AS total_quantity_sold,
 SUM(ti.amount) as total_sale_amount FROM trn_inventory AS ti
 JOIN trn_voucher AS tv
 ON ti.guid = tv.guid
 JOIN mst_stock_item AS msi
 ON ti._item = msi.guid
WHERE msi.name = 'NET100013 - Aruba ACCESS POINT AP11' AND ti.quantity < 0
GROUP BY tv.date,ti.godown
ORDER BY tv.date;"
G019,AAMVATARI RAS-40 TAB purchase,"SELECT name,closing_balance FROM mst_ledger WHERE parent = 'Sundry Creditors' AND closing_balance < 0;"
G020,Party wise Products wise Sale and Purchase report,"SELECT tv.date,
 tv.voucher_number,
 tv.party_name,
 msi.name AS item_name,
 ti.quantity,ti.rate,
 ti.amount FROM trn_inventory AS ti
 JOIN trn_voucher AS tv
 ON ti.guid = tv.guid
 JOIN mst_stock_item AS msi
 ON ti._item = msi.guid
WHERE msi.name = 'NET100013 - Aruba ACCESS POINT AP11' AND ti.quantity > 0 ;"
